MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
900,%,X,X,0,X,,,,PROPOR,1,100,0,0,0,0,P1,,0.00E+00,,,0.00E+00,
900,%O,X,X,0,X,,,,PROPOR,1,1000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,1,X,X,0,,,,,PROPOR,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,10,X,X,0,X,,,,TIME,86400,1,0,0,0,0,DAY,,0.00E+00,,,0.00E+00,
900,22S,X,X,0,,,,,VISKIN,1,1000000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,2M,X,X,0,X,,,,SPEED,1,1,-2,0,0,0,2M,,0.00E+00,,,0.00E+00,
900,2X,X,X,0,X,,,,SPEED,1,60,0,0,0,0,2X,,0.00E+00,,,0.00E+00,
900,4G,X,X,0,X,,,,VOLUME,1,1,-9,0,0,0,4G,,0.00E+00,,,0.00E+00,
900,4O,X,X,0,X,,,,CAPACI,1,1,-6,0,0,0,4O,,0.00E+00,,,0.00E+00,
900,4T,X,X,0,X,,,,CAPACI,1,1,-12,0,0,0,4T,,0.00E+00,,,0.00E+00,
900,A,X,X,0,,,,,ECURR,1,1,0,0,0,0,AMP,X,0.00E+00,,,0.00E+00,
900,A87,X,X,0,X,,,,RESIST,1,1,9,0,0,0,A87,,0.00E+00,,,0.00E+00,
900,A93,X,X,0,X,,,,DENSI,1,1,-3,0,0,0,A93,,0.00E+00,,,0.00E+00,
900,ACR,X,X,0,X,,,,SURFAC,1210000,299,0,0,0,0,ACR,,0.00E+00,,,0.00E+00,
900,B34,X,X,0,X,,,,DENSI,1,1,3,0,0,0,B34,,0.00E+00,,,0.00E+00,
900,B45,X,X,0,X,,,,MOLQU,1,1,3,0,0,0,B45,,0.00E+00,,,0.00E+00,
900,B47,X,X,0,X,,,,FORCE,1,1,3,0,0,0,B47,,0.00E+00,,,0.00E+00,
900,B73,X,X,0,X,,,,FORCE,1,1,6,0,0,0,B73,,0.00E+00,,,0.00E+00,
900,B75,X,X,0,X,,,,RESIST,1,1,6,0,0,0,B75,,0.00E+00,,,0.00E+00,
900,B78,X,X,0,X,,,,VOLTAG,1,1,6,0,0,0,B78,,0.00E+00,,,0.00E+00,
900,B84,X,X,0,X,,,,ECURR,1,1,-6,0,0,0,B84,,0.00E+00,,,0.00E+00,
900,BAG,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,BG,X,0.00E+00,,,0.00E+00,
900,BAR,X,X,0,,,,,PRESS,100000,1,0,0,0,0,BAR,,0.00E+00,,,0.00E+00,
900,BOT,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,BO,X,0.00E+00,,,0.00E+00,
900,BQK,X,X,0,,,,,SPARAD,1,1,0,0,0,0,A18,,0.00E+00,,,0.00E+00,
900,BTU,X,X,0,,,,,ENERGY,1055056,1000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,Bqm,X,X,0,X,,,,ACTCON,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,C10,X,X,0,X,,,,CAPACI,1,1,-3,0,0,0,C10,,0.00E+00,,,0.00E+00,
900,C36,X,X,0,X,,,,ACBAC,1,1,0,0,0,3,C36,,0.00E+00,,,0.00E+00,
900,C38,X,X,0,X,,,,ACBAC,1000,1,0,0,0,3,C38,,0.00E+00,,,0.00E+00,
900,C39,X,X,0,X,,,,ECURR,1,1,-9,0,0,0,C39,,0.00E+00,,,0.00E+00,
900,C3S,X,X,0,X,,,,VOLFLO,1,1000000,0,0,0,0,2J,,0.00E+00,,,0.00E+00,
900,C41,X,X,0,X,,,,CAPACI,1,1,-9,0,0,0,C41,,0.00E+00,,,0.00E+00,
900,C56,X,X,0,X,,,,PRESS,1,1,6,0,0,0,C56,,0.00E+00,,,0.00E+00,
900,CCK,X,X,0,X,,,,VOLWTF,1,1,0,0,0,0,CCK,,0.00E+00,,,0.00E+00,
900,CCM,X,X,3,X,,,,VOLUME,1,1000000,0,0,0,0,CMQ,X,0.00E+00,,,0.00E+00,
900,CD,X,X,0,,,,,LIGHT,1,1,0,0,0,0,CDL,X,0.00E+00,,,0.00E+00,
900,CDM,X,X,3,X,,,,VOLUME,1,1000,0,0,0,0,DMQ,X,0.00E+00,,,0.00E+00,
900,CM,X,X,3,X,,,,LENGTH,1,100,0,0,0,0,CMT,X,0.00E+00,,,0.00E+00,
900,CM2,X,X,3,X,,,,SURFAC,1,10000,0,0,0,0,CMK,,0.00E+00,,,0.00E+00,
900,CMH,X,X,0,,,,,SPEED,1,360000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,COP,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,CS,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,CS,X,0.00E+00,,,0.00E+00,
900,CTL,X,X,0,X,,,,VOLUME,1,100000,0,0,0,0,CLT,,0.00E+00,,,0.00E+00,
